,id,fecha,nom_estac,clave_de_estacion,clave_parametro,nombre_de_parametro,unidades_parametros,valor,id_unidad,clave_de_unidad,nombre_de_unidad,alt,obs_estac,id_station,latitud,longitud,coordenadas
11191,400324,2020-03-19T20:00:00+00:00,FES Acatlán,FAC,PM10,Partículas menores a 10 micrómetros,2,63.0,2,µg/m³,microgramos por metro cúbico,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11192,400335,2020-03-19T20:00:00+00:00,FES Acatlán,FAC,CO,Monóxido de carbono,15,0.4,15,ppm,partes por millón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11193,400366,2020-03-19T21:00:00+00:00,FES Acatlán,FAC,O3,Ozono,1,12.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11194,400430,2020-03-19T22:00:00+00:00,FES Acatlán,FAC,O3,Ozono,1,22.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11195,400463,2020-03-19T22:00:00+00:00,FES Acatlán,FAC,PM10,Partículas menores a 10 micrómetros,2,63.0,2,µg/m³,microgramos por metro cúbico,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11196,400495,2020-03-19T23:00:00+00:00,FES Acatlán,FAC,NO,Óxido nítrico,1,0.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11197,400505,2020-03-19T23:00:00+00:00,FES Acatlán,FAC,NO2,Dióxido de nitrógeno,1,5.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11198,400550,2020-03-19T23:00:00+00:00,FES Acatlán,FAC,PM10,Partículas menores a 10 micrómetros,2,30.0,2,µg/m³,microgramos por metro cúbico,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11199,400623,2020-03-19T03:00:00+00:00,FES Acatlán,FAC,PM10,Partículas menores a 10 micrómetros,2,33.0,2,µg/m³,microgramos por metro cúbico,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11200,400675,2020-03-19T04:00:00+00:00,FES Acatlán,FAC,O3,Ozono,1,13.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
